動画種類,性別,理解記憶度,もう一度見たい,現地に行きたい,総合評価,共有動機,行動トラッキング,視聴時間
従来動画,男,3,2,3,2,2,20,215s
従来動画,女,2,3,4,4,3,8,70s
従来動画,男,1,5,4,5,1,9,65s
従来動画,男,3,5,3,4,4,10,60s
従来動画,女,2,5,4,4,4,10,60s
従来動画,男,4,2,2,3,3,12,100s
従来動画,男,2,2,4,4,3,9,68s
従来動画,男,3,2,4,3,3,10,100s
従来動画,女,2,2,2,2,5,9,75s
従来動画,女,3,3,4,3,4,5,100s
従来動画,女,2,3,2,2,3,10,69s
従来動画,女,2,3,2,2,3,8,80s
従来動画,女,3,3,2,3,1,5,100s
従来動画,男,1,3,2,3,2,10,60s
従来動画,男,4,2,3,4,2,10,130s
従来動画,男,1,3,2,1,1,8,80s
従来動画,男,3,2,3,2,2,8,70s
従来動画,女,4,2,4,3,4,7,100s
従来動画,女,3,3,4,3,4,7,90s
従来動画,女,3,3,3,4,3,10,100s
インタラクティブ動画,男,4,5,4,5,4,162,210s
インタラクティブ動画,男,3,5,5,5,5,72,216s
インタラクティブ動画,女,3,5,5,5,4,53,210s
インタラクティブ動画,女,2,4,4,3.5,4,50,107s
インタラクティブ動画,女,2,5,4,3,4,26,118s
インタラクティブ動画,男,4,4,5,4,2,65,103s
インタラクティブ動画,女,5,5,3,4,4,28,108s
インタラクティブ動画,女,4,5,2,5,5,22,200s
インタラクティブ動画,女,4,4,4,5,4,22,100s
インタラクティブ動画,女,4,5,5,5,5,18,100s
インタラクティブ動画,男,2,2,3,4,3,30,80s
インタラクティブ動画,男,4,2,4,4,4,14,90s
インタラクティブ動画,男,4,3,4,5,4,18,80s
インタラクティブ動画,男,3,5,5,5,5,39,100s
インタラクティブ動画,女,3,5,4,5,3,25,100s
インタラクティブ動画,女,4,4,4,4,3,13,100s
インタラクティブ動画,女,4,3,2,5,2,45,100s
インタラクティブ動画,男,4,3,5,4,4,144,215s
インタラクティブ動画,男,4,4,3,4,5,28,100s
インタラクティブ動画,男,3,5,3,4,4,73,212s
